Date,Occupancy Index,Room Rate Index,Tourist Demand Index,Airfare Index
01-01-2018,65,5200,220,100
02-01-2018,-229.693,4360.155,-72.177,513.667
03-01-2018,-434.528,3815.08,-279.326,750.072
04-01-2018,-578.379,3988.72,-444.862,880.604
05-01-2018,-721.638,3745.294,-578.026,996.62
06-01-2018,-828.776,3100.68,-682.456,1057.022
07-01-2018,-871.124,3264.571,-745.008,1060.83
08-01-2018,-915.158,3230.661,-799.084,1072.644
09-01-2018,-943.738,3355.342,-829.849,1087.221
10-01-2018,-979.538,3253.097,-849.529,1104.656
11-01-2018,-1001.924,3249.486,-878.497,1112.514
12-01-2018,-1022.676,3273.689,-894.093,1119.043
13-01-2018,-1040.621,3196.599,-901.405,1125.691
14-01-2018,-1041.89,3336.613,-906.103,1126.355
15-01-2018,-1052.854,2946.522,-909.794,1135.697
16-01-2018,-1038.455,3079.129,-899.885,1107.354
17-01-2018,-1038.91,3154.702,-909.517,1102.777
18-01-2018,-1038.438,3268.722,-911.633,1109.298
19-01-2018,-1045.043,3352.702,-925.223,1114.255
20-01-2018,-1064.059,3122.056,-922.863,1130.146
21-01-2018,-1052.365,3162.273,-928.599,1121.793
22-01-2018,-1053.845,2968.708,-922.585,1116.942
23-01-2018,-1036.492,2899.484,-895.669,1098.314
24-01-2018,-1017.803,2976.127,-904.028,1078.967
25-01-2018,-1015.121,3194.767,-893.739,1067.908
26-01-2018,-1025.679,3214.67,-898.728,1086.55
27-01-2018,-1031.15,3099.978,-906.902,1101.045
28-01-2018,-1034.732,2878.947,-920.088,1098.746
29-01-2018,-1022.951,2919.913,-914.126,1078.106
30-01-2018,-1007.993,2846.432,-907.108,1068.981
31-01-2018,-1002.292,2924.71,-881.854,1059.138
01-02-2018,-996.175,2679.499,-861.949,1054.015
02-02-2018,-976.735,2818.119,-856.723,1031.009
03-02-2018,-972.453,3073.174,-865.137,1029.538
04-02-2018,-977.128,3192.463,-847.625,1040.02
05-02-2018,-991.707,3135.248,-857.672,1058.122
06-02-2018,-990.276,3003.406,-885.78,1064.553
07-02-2018,-991.878,3154.126,-881.931,1065.701
08-02-2018,-1004.442,3301.647,-876.23,1072.553
09-02-2018,-1024.076,2985.375,-880.637,1096.624
10-02-2018,-1021.044,2998.771,-896.574,1091.946
11-02-2018,-1015.37,2998.706,-888.771,1083.219
12-02-2018,-1013.308,3016.509,-887.115,1077.743
13-02-2018,-1009.561,2698.304,-880.938,1080.534
