Occ,Rate,Demand,Airfare
-1020.7581851609835,2895.8390465025896,-896.9491942179872,1077.890332154303
-1009.3316293301734,2959.2646183867955,-885.543844525268,1065.6338680729846
-1002.3645618407933,2994.005875580395,-881.265600148796,1062.1232287923447
-999.6556650583004,3010.617620794109,-876.6103432360064,1061.9840883484253
-997.9358054282409,3024.7824259482377,-873.9487497531684,1063.0366862499743
-997.7403814664642,3036.4291540967893,-872.9120766073829,1064.650098185147
-998.6872043494349,3042.5418203475524,-872.8882230251135,1066.6853632213813
-999.8797012013553,3044.5701205865403,-873.2369539178472,1068.705361091787
-1000.8641215888937,3045.515043784915,-874.1774094682912,1070.4092199514162
-1001.7061395468497,3046.69543938724,-875.1280585039367,1071.7400140275008
